TESS_ID,GAIA_ID,2MASS_ID,TWOMASS_ID,Rotation_Period[days],Mass[M_sun],Total_Obs_Time[days],Sector_Obs_Time[days],Equivalent_Duration[s],FFD_alpha,FFD_alpha_error,FFD_beta,FFD_beta_error,log10_Flare_Energy[erg],log10_Flare_Energy_error[erg],log10_Flare_Rate[day^-1],log10_Flare_Rate_error[day^-1],log10_Flare_Rate_nuv,log10_Flare_Rate_nuv_error,log10_Flare_Rate_fuv,log10_Flare_Rate_fuv_error,log10_Flare_Rate_xuv,log10_Flare_Rate_xuv_error,Start_Time,End_Time,Flux_error[W/m^2],Flux_Median[W/m^2],TESS_Luminosity[erg/s],Number of Flares,TESS_Sector,TESS_Cadence
TIC 104123038,4.053559111471125e+18,2MASS 17364180-3425459,2MASS 17364180-3425459,0.0905,0.112167,46.49074074074074,46.49074074074074,126.26323144550803,-0.5137749576971207,0.0,15.133834727461462,0.0,32.70147939606948,0.023438107311332848,-1.6673664658873972,0.43429448190325176,-1.1229791470540227,0.02051719399045346,-0.9219657145744233,0.01924751586900849,-1.0264354807089107,0.01924751586900849,2373.3425,3823.178,0.038161306,-0.000211218888,0.001048139044864,2,92.0,20.0
TIC 104123038,4.053559111471125e+18,2MASS 17364180-3425459,2MASS 17364180-3425459,0.0905,0.112167,46.49074074074074,46.49074074074074,32.76113203123509,-0.5137749576971207,0.0,15.133834727461462,0.0,32.11556139606948,0.023438107311332848,-1.366336470223416,0.3070925731856877,-0.8219491513900415,0.02051719399045346,-0.6209357189104421,0.01924751586900849,-0.7254054850449294,0.01924751586900849,2373.3425,3823.178,0.038161306,-0.000211218888,0.001048139044864,2,39.0,120.0
TIC 1042982,7.409313408785559e+17,2MASS 10163470+2751497,2MASS 10163470+2751497,10.2,0.101369,45.46666802300348,88.73611518012154,5462.446544580206,-0.3189544539911972,0.04307291694722548,9.194473102354403,1.419240607311217,34.09285092716455,0.013085896135408337,-1.6576931285564336,0.43429448190325176,-1.0521472694936764,0.01712799571877774,-0.6704600471470337,0.015584603146320498,-0.7353154798940253,0.015584603146320498,1897.3385,2629.32,0.021306109749999996,-0.0007816833949999999,0.0005965957160923,4,21.0,120.0
TIC 1042982,7.409313408785559e+17,2MASS 10163470+2751497,2MASS 10163470+2751497,10.2,0.101369,45.46666802300348,88.73611518012154,82.68805947160257,-0.3189544539911972,0.04307291694722548,9.194473102354403,1.419240607311217,32.27290652716455,0.013085896135408337,-1.3566631328924526,0.3070925731856877,-0.4716678970973419,0.01712799571877774,-0.08998067475069904,0.015584603146320498,-0.15483610749769072,0.015584603146320498,1897.3385,2629.32,0.021306109749999996,-0.0007816833949999999,0.0005965957160923,4,48.0,120.0
TIC 1042982,7.409313408785559e+17,2MASS 10163470+2751497,2MASS 10163470+2751497,10.2,0.101369,45.46666802300348,88.73611518012154,321.7178072533541,-0.3189544539911972,0.04307291694722548,9.194473102354403,1.419240607311217,32.86293882716455,0.013085896135408337,-1.1805718738367712,0.2507400360344114,-0.6598613271810102,0.01712799571877774,-0.27817410483436733,0.015584603146320498,-0.343029537581359,0.015584603146320498,1897.3385,2629.32,0.021306109749999996,-0.0007816833949999999,0.0005965957160923,4,48.0,120.0
TIC 1042982,7.409313408785559e+17,2MASS 10163470+2751497,2MASS 10163470+2751497,10.2,0.101369,45.46666802300348,88.73611518012154,153.21179474746063,-0.3189544539911972,0.04307291694722548,9.194473102354403,1.419240607311217,32.540755927164554,0.013085896135408335,-1.0556331372284713,0.21714724095162588,-0.5570996562262117,0.01712799571877774,-0.17541243387956884,0.015584603146320496,-0.24026786662656052,0.015584603146320496,1897.3385,2629.32,0.021306109749999996,-0.0007816833949999999,0.0005965957160923,4,48.0,120.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,5.016705996575668,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.412596132953574,0.011299589720855615,-2.027731741087491,0.43429448190325176,-0.2515186897607201,0.01906861528371687,-0.34247712485166604,0.017695301826310697,-0.5109643165918318,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,93.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,202.0058748360602,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,33.017541482953575,0.011299589720855617,-1.72670174542351,0.30709257318568767,-1.5813894895515026,0.01906861528371687,-1.6723479246424486,0.0176953018263107,-1.8408351163826144,0.0176953018263107,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,93.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,6.677263272152633,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.536775982953575,0.011299589720855614,-1.5506104863678287,0.2507400360344115,-0.35441512572808664,0.01906861528371687,-0.44537356081903257,0.017695301826310697,-0.6138607525591984,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,93.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,19.632680545982744,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,32.00515708295357,0.011299589720855615,-1.4256717497595288,0.21714724095162588,-0.7425195232166907,0.01906861528371687,-0.8334779583076366,0.017695301826310697,-1.0019651500478024,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,93.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,113.84595381006108,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,32.76849508295358,0.011299589720855617,-1.3287617367514724,0.19422239675774466,-1.3750276123991028,0.01906861528371687,-1.4659860474900488,0.0176953018263107,-1.6344732392302146,0.0176953018263107,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,39.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,6.594477184068829,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.531357852953576,0.011299589720855617,-1.2495804907038477,0.1772999797948916,-0.34992561904397024,0.01906861528371687,-0.44088405413491616,0.0176953018263107,-0.609371245875082,0.0176953018263107,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,39.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,13.854906522755636,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.853781082953574,0.011299589720855615,-1.1826337010732344,0.16414788498337796,-0.6170881356687424,0.01906861528371687,-0.7080465707596884,0.017695301826310697,-0.8765337624998542,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,39.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,8.73935859971838,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.653657042953576,0.011299589720855615,-1.1246417540955476,0.15354628659284383,-0.4512637248050574,0.01906861528371687,-0.5422221598960033,0.017695301826310697,-0.7107093516361691,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,39.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,40.2572495721335,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,32.31702158295357,0.011299589720855617,-1.0734892316481663,0.14476482730108395,-1.000932990093522,0.01906861528371687,-1.091891425184468,0.0176953018263107,-1.2603786169246338,0.0176953018263107,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,39.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,5.56257269955961,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.457453182953575,0.011299589720855615,-1.0277317410874913,0.13733597380570536,-0.28868760704488283,0.01906861528371687,-0.37964604213582875,0.017695301826310697,-0.5481332338759946,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,39.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,6.611105687448633,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.532451582953573,0.011299589720855615,-0.9863390559292662,0.13094471318135267,-0.3508318926375523,0.01906861528371687,-0.44179032772849824,0.017695301826310697,-0.610277519468664,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,39.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,25.127078699737847,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,32.11231948295357,0.011299589720855615,-0.9485504950398664,0.12537001801720574,-0.8313151613955846,0.01906861528371687,-0.9222735964865305,0.017695301826310697,-1.0907607882266963,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,39.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,5.982757501709074,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.489078882953574,0.011299589720855615,-0.9137883887806545,0.12045161716563399,-0.3148929198631315,0.01906861528371687,-0.4058513549540774,0.017695301826310697,-0.5743385466942432,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,91.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,66.55429693426662,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,32.535353582953576,0.011299589720855615,-0.8816037054092533,0.11607008258917599,-1.181844665036175,0.01906861528371687,-1.272803100127121,0.017695301826310697,-1.4412902918672867,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,91.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,10.556403937288822,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.735693482953575,0.011299589720855615,-0.85164048203181,0.11213435305073817,-0.5192397877126119,0.01906861528371687,-0.6101982228035578,0.017695301826310697,-0.7786854145437236,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,91.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,24.89685557494365,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,32.108321982953576,0.011299589720855615,-0.8236117584315664,0.10857362047581294,-0.8280028003097947,0.01906861528371687,-0.9189612354007406,0.017695301826310697,-1.0874484271409064,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,91.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,11.596854277881208,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.776517682953575,0.011299589720855615,-0.7972828197092173,0.10533188361823556,-0.5530670526128262,0.01906861528371687,-0.6440254877037721,0.017695301826310697,-0.8125126794439379,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,91.0,20.0
TIC 111898820,4.0555794640645586e+18,2MASS 17464063-3214045,2MASS 17464063-3214045,0.2291,0.118416,106.59375,556.4527705439815,5.715657544475914,-0.8286081515428435,0.018456968069503622,25.367051880349955,0.5874692215292895,31.469243682953575,0.011299589720855615,-0.7724592359841852,0.10236419106189588,-0.29845731145565113,0.01906861528371687,-0.38941574654659705,0.017695301826310697,-0.5579029382867629,0.017695301826310697,2362.4082,3844.4011,0.01839769292307692,-0.00010679139192307693,0.0013564190681518997,26,91.0,20.0
